Timeline,Values,Forecast,Lower Confidence Bound,Upper Confidence Bound,,Statistic,Value
2010,1,,,,,Alpha,0.90
2011,1,,,,,Beta,0.00
2012,3,,,,,Gamma,0.10
2013,5,,,,,MASE,18.11
2014,7,,,,,SMAPE,0.56
2015,5,,,,,MAE,82.78
2016,21,,,,,RMSE,113.60
2017,29,,,,,,
2018,90,,,,,,
2019,118,,,,,,
2020,171,,,,,,
2021,193,,,,,,
2022,444,444,444.00,444.00,,,
2023,,436.4904439,288.61,584.38,,,
2024,,454.4890188,255.43,653.55,,,
2025,,492.8603655,253.24,732.48,,,
2026,,550.4556044,276.14,824.77,,,
2027,,542.9460483,231.09,854.80,,,
2028,,560.9446232,221.59,900.30,,,
2029,,599.3159699,234.47,964.17,,,
2030,,656.9112088,268.19,1045.64,,,
