Timeline,Values,Forecast,Lower Confidence Bound,Upper Confidence Bound,,Statistic,Value
1960,88382881,,,,,Alpha,0.33
1961,90816938,,,,,Beta,0.17
1962,93345489,,,,,Gamma,0.00
1963,95962527,,,,,MASE,0.17
1964,98675061,,,,,SMAPE,0.00
1965,101157868,,,,,MAE,"536,872.00"
1966,103561105,,,,,RMSE,"655,731.40"
1967,106260749,,,,,,
1968,109138723,,,,,,
1969,112149246,,,,,,
1970,115228394,,,,,,
1971,118347135,,,,,,
1972,121504145,,,,,,
1973,124709058,,,,,,
1974,127945196,,,,,,
1975,131213215,,,,,,
1976,134521025,,,,,,
1977,137861540,,,,,,
1978,141250964,,,,,,
1979,144693087,,,,,,
1980,148177096,,,,,,
1981,151686337,,,,,,
1982,155228658,,,,,,
1983,158790611,,,,,,
1984,162331962,,,,,,
1985,165791694,,,,,,
1986,169135273,,,,,,
1987,172421390,,,,,,
1988,175694647,,,,,,
1989,178949174,,,,,,
1990,182159874,,,,,,
1991,185361228,,,,,,
1992,188558416,,,,,,
1993,191737287,,,,,,
1994,194928533,,,,,,
1995,198140162,,,,,,
1996,201373791,,,,,,
1997,204628007,,,,,,
1998,207855486,,,,,,
1999,210996910,,,,,,
2000,214072421,,,,,,
2001,217112437,,,,,,
2002,220115092,,,,,,
2003,223080121,,,,,,
2004,225938595,,,,,,
2005,228805144,,,,,,
2006,231797427,,,,,,
2007,234858289,,,,,,
2008,237936543,,,,,,
2009,240981299,,,,,,
2010,244016173,,,,,,
2011,247099697,,,,,,
2012,250222695,,,,,,
2013,253275918,,,,,,
2014,256229761,,,,,,
2015,259091970,,,,,,
2016,261850182,,,,,,
2017,264498852,,,,,,
2018,267066843,,,,,,
2019,269582878,,,,,,
2020,271857970,,,,,,
2021,273753191,,,,,,
2022,275501339,275501339,275501339.00,275501339.00,,,
2023,,278453303.7,277502219.35,279404388.10,,,
2024,,280533063.6,279469718.98,281596408.30,,,
2025,,282612823.5,281374788.98,283850858.12,,,
2026,,284692583.5,283222584.04,286162582.88,,,
2027,,286772343.4,285021497.40,288523189.33,,,
2028,,288852103.3,286779261.48,290924945.07,,,
2029,,290931863.2,288501886.55,293361839.82,,,
2030,,293011623.1,290193812.74,295829433.45,,,
